1 3 5  89	x	1   5  89	    5  89	1 3    89	  3    89	x	1 3 5   9	1 3 5  8 	  3 5  8 	1   5   9	1   5  8 
12  5 78 	1   5 78 	    5 78 	x	12    78 	 2    78 	12  5  8 	12  5 7  	1   5  8 	1   5 7  	    5 7  	12     8 
 2  5 78 	    5 78 	x	x	 2    78 	x	 2  5  8 	 2  5 7  	    5  8 	    5 7  	x	 2     8 
 2  56789	    56789	x	x	 2   6789	 2  5 789	 2  56 89	 2  567 9	 2  5678 	    567 9	 2    789	 2   6 89
1    6  9	x	x	x	x	1       9	        9	x	1    6   	     6   	x	x
1   56  9	x	x	x	1    6  9	1   5   9	    5   9	x	1   56   	    56   	1       9	        9
 23 5    	  3 5    	 2  5    	x	 23      	x	  3      	 2       	x	         	x	x
12      9	1       9	        9	x	x	x	x	x	12       	 2       	1        	         
1  45  89	x	x	1   5  89	1  4   89	   4   89	x	1  45   9	1  45  8 	   45  8 	x	1   5   9
1    6 89	x	x	x	x	1      89	       89	1    6  9	1    6 8 	     6 8 	x	x
1 345678 	x	1  45678 	1 3 5678 	1 34 678 	1 345 78 	1 3456 8 	1 34567  	  34567  	1 3 5 78 	1  4567  	1 3 567  
     6   	x	x	x	x	         	x	x	x	x	x	x
12  56 89	1   56 89	    56 89	x	12   6 89	12  5  89	1    6 89	12  56  9	12  56 8 	 2  56 8 	1   56 8 	 2     89
 2 4    9	   4    9	x	 2      9	x	        9	x	x	 2 4     	x	   4     	x
  3  6   	x	     6   	x	x	  3      	x	x	         	x	x	x
  34567  	x	   4567  	  3 567  	  34 67  	  345 7  	  3456   	   4 67  	  3  67  	  3 5 7  	  3 56   	  34 6   
1234    9	1 34    9	12 4    9	123     9	1  4    9	1 3     9	12      9	 2      9	1234     	 234     	1 34     	12 4     
  34 67 9	x	   4 67 9	  3  67 9	x	  34  7 9	  34 6  9	x	  34 67  	  3   7 9	  3  6  9	   4 67  
1     7  	x	x	x	x	x	1        	         	x	x	x	x
12  5   9	1   5   9	    5   9	x	12      9	 2      9	1       9	        9	12  5    	 2  5    	1   5    	    5    
1 3 5    	x	1   5    	    5    	1 3      	  3      	x	1        	         	x	x	x
  34     	x	   4     	  3      	x	x	         	x	x	x	x	x
12345 7  	1 345 7  	12 45 7  	123 5 7  	1234  7  	1 3 5 7  	12345    	 2345    	123   7  	12 45    	123 5    	1234     
12  56  9	1   56  9	    56  9	x	12   6  9	12  5   9	1    6  9	1   5   9	12  56   	 2  56   	1   56   	    56   
